post_id,sentence,true_label,logits
1179039577777983488_twitter,in recent years we have frequently seen poor people suffer immensely in avoidable tragedies from the grenfell tower block fire in london to the burning of makeshift refugee camps across europe,normal,[-0.27234     0.32978362  0.41707703]
23169645_gab,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring <number> <number> mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,hatespeech,[ 0.52475065 -0.43821084  0.13318142]
10053426_gab,ventura only governor to refund overpaid taxes back to those who paid them burqa betsy just fired gay police chief who demanded open investigation against mudslime cop that murdered white christian woman appointed mudslime as new chief burqa betsy will lose gay vote and mayor position,offensive,[-0.49023774  0.6603727   0.43812606]
12585712_gab,the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you,offensive,[ 0.32106984 -0.14791872  0.01412297]
24728249_gab,kim kardashian is a negress by now anyway,hatespeech,[ 0.55902624 -0.67774653  0.5213409 ]
1178275818012860417_twitter,<user> <user> <user> evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,normal,[-1.0254258   1.5830472   0.40979224]
23637308_gab,monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn,hatespeech,[ 1.8712516 -1.8290987 -0.5420775]
9053284_gab,they average more in cali with the feeding program but the skunks and coons eat well too,hatespeech,[ 0.3391804  -0.24711876  0.15613154]
1142977246283599872_twitter,blue jeans white t shirt,normal,[-1.4025081   1.7019303   0.72897595]
17315138_gab,get the honky cat,offensive,[-0.22950679  0.32137525  0.38773674]
10733286_gab,god damned kike whore cunt so sure that none of those cowards could ever get to her in her hymiewood mcmansion,hatespeech,[ 1.792629  -1.7202015 -0.3924228]
19792641_gab,ovomits a nigger and a half nigger,hatespeech,[ 1.3898151  -1.320378   -0.38649964]
1171918006806618118_twitter,he talking about hoes be thinking cause i buy you shit and give you money they gone get the same treatment 😭 😭,normal,[-0.54481316  0.5405146   0.7453771 ]
1123295873218293760_twitter,niggas really be tryna keep yu around just to be on some bullshit raggedy bitches,offensive,[-0.7033521   0.59880567  1.0181321 ]
1188868820854808581_twitter,lool it bare gyal clown i see that get no gyal 😂 they just sad cus they get no bitches but do the most to get em 😭 try harder,offensive,[-0.27893254  0.21259063  0.926634  ]
26349453_gab,as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland,hatespeech,[-0.43493676  0.5288907   0.48062918]
1179030288065859585_twitter,so that is why mom brother who works in google a pakistani born married a local american women divorced her got married to a rich paki doctor wow ye concept hy phir they shifted to us great,normal,[-0.29592472  0.49658012  0.29391313]
23069299_gab,dude you are a fucking idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that kike shit,hatespeech,[ 1.0804408  -0.99060875 -0.24232766]
1178605473743982594_twitter,me 🤝 looking like a dyke every day,normal,[-0.3734132   0.59889984  0.26004362]
1179025513970577408_twitter,first mental breakdown of the year i fucking hate school,normal,[-0.56898427  0.79996264  0.25250375]
1178120616467161089_twitter,grown ass men doing women activities and lil faggot boys taking your daughter homecoming queen crown this what the fuck yall wanted,hatespeech,[ 0.37130696 -0.37191498  0.36001775]
1178839028776484864_twitter,<user> ah man i fucking hate you so much,normal,[-0.94608384  1.4030397   0.34255967]
1178251992801533952_twitter,mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t v and twitter gives me <number> hrs in das hole damn snowflakes,hatespeech,[-0.2211434   0.3201556   0.46113625]
21653890_gab,<user> you are an entire nigger,hatespeech,[ 0.39247262 -0.28047204 -0.02730406]
1179081620541841408_twitter,<user> the white delegation has waived that white devil woman,offensive,[-0.5277383   0.9706723   0.18292014]
1632755_gab,i wonder how long until they can get the nigger stink out of the white house,hatespeech,[ 1.1379447  -1.0822154  -0.24234387]
1179078038673395712_twitter,<user> <user> your sweeping vision is to rob the taxpayers to support illegals release criminal illegals into our communities to rape and murder our children and to bankrupt the residents and small businesses with more taxes rather than lowering taxes <user> <user>,normal,[-0.95552045  1.4061531   0.4791393 ]
1179073412578381827_twitter,<user> they all look like me,normal,[-1.0389501   1.3407875   0.52223533]
13146695_gab,you are in the grip of meme malware that is what i fight also muzzie invader scum,hatespeech,[ 0.8811151  -0.87530226 -0.14793947]
1179039117390340097_twitter,me confuses theodore and we might watch game of his muslim ban got blocked by a nice meal,normal,[-0.6595414  1.0091623  0.2774461]
8394773_gab,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,hatespeech,[ 0.11974438 -0.0478093   0.33281326]
1178525090847379458_twitter,family has always been important to me and i will hunt down people who hurt them you are freakin retard she may be my niece but she your freakin daughter some mother you are leaving her for some other kids that are not your own,normal,[-0.22007856  0.2795916   0.5788314 ]
23377953_gab,match <number> a nigger wins a championship match <number> a nigger wins the battle royal now <number> niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania 😡,hatespeech,[ 1.3516984  -1.28081    -0.34776363]
15972271_gab,we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that,hatespeech,[ 0.6862081  -0.5503725   0.00987609]
17247779_gab,niggas say hahahaha you live with your mom hahaha you must be poor nigger i just spent <money> on a new computer for my mom kindly fuck off pls kthx <number>,offensive,[ 0.57897455 -0.40110356 -0.04841142]
1184679550007029760_twitter,egay o jungkook,normal,[-0.84194565  1.3769691   0.22453073]
1179095515226607616_twitter,<user> <user> nope it your imagination the tory party is full of white home county oaps,normal,[-1.3290555  1.799684   0.6453967]
7020770_gab,zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt but call a wetback a wetback and you get <number> days fucking psycho,hatespeech,[ 0.8264479  -0.8086623   0.14456403]
16070530_gab,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,hatespeech,[ 0.87237436 -0.7550604  -0.1128998 ]
20509359_gab,in time my friend in time they do already support the acid in my moslem wife face libtards hollywood sucks,offensive,[-0.54429424  0.6271944   0.5654473 ]
1179030757555261440_twitter,<user> <user> <user> <user> <user> <user> that funny i can not for the life of me remember even one circumstance where any democrat sided with putin kim jon un nazis white supremacist or the kk,normal,[-1.6443197  2.5006452  0.5782742]
1178723245211734016_twitter,<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,hatespeech,[-0.4687652   0.61757344  0.47114566]
1179050544075137026_twitter,<user> text me faggot,normal,[-0.8653781   1.0130023   0.59722424]
13265405_gab,i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap,hatespeech,[ 1.4117079  -1.3470833  -0.26893276]
11778438_gab,a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked,hatespeech,[ 0.9621232 -0.9511743  0.022718 ]
1179082883333378048_twitter,what in the hillbilly did i just hear <user>,normal,[-0.76311165  0.906524    0.6029476 ]
1179073367057547269_twitter,<user> dis nigga called us coons and niggers with a er am i missing something lmao,normal,[0.02517077 0.38187277 0.00778109]
1178888096839950336_twitter,rae accent is fuckin magical she my lil hillbilly country babe <number>,normal,[-0.6748167  0.7963007  0.4994493]
1178670866768502785_twitter,<user> <user> <user> <user> naam tak rocky handsome se copy kiya hai itna bhi nahin janta ki tere baap dada bhi hindu the and turk came and raped and some turned muslim and idiots like you think you ruled us for <number> years ja pehle history pad phir baat karna,normal,[-1.1899365   1.8858056   0.38838455]
24569252_gab,it was another muzrat terrorist attack do not believe the could not get laid excuse,hatespeech,[-0.18355264  0.17503038  0.6061508 ]
9597450_gab,<user> seems like the liberals an moslem nations do not like prezz trumps r americas agenda at the g20 well then we need <number> walk out of the g20 an tell them lets see how long u last without americas help,normal,[0.05009746 0.18077847 0.06516115]
1179004403673714689_twitter,<user> <user> <user> instead break pakistan no illegal pak muslim immigrants allowed in india i mean the word illegal,normal,[-1.4784839  1.9811397  0.7777845]
1178789722354794496_twitter,so me being african doesnt give me the pass to understand more ca do researches and know whats appropriate and whats not 🤡 some white people are so funny,normal,[-0.6894321   1.119197    0.26388365]
20318223_gab,the heeb fears the muramasa,normal,[-0.2649465   0.3467675   0.43414944]
1171798188132589568_twitter,how can you get rid of one nigger and replace it with another nigger x and y was much better no nigero in sight,hatespeech,[ 1.2211372  -1.1459962  -0.31696966]
11578894_gab,a profile of a mudshark,hatespeech,[ 0.5859605  -0.57277346  0.1673076 ]
21869208_gab,chopra is a curry nigger who utters meaningless new age platitudes like only you can poison your soul,hatespeech,[ 1.4619164  -1.3714303  -0.33389792]
21214738_gab,i probably ended up another kike list somewhere lolz yeah no doubt plus jews like to keep tabs on us nazis idk why it not as though we are coming for them to put them in the ovens yet,hatespeech,[ 1.4570082 -1.3909062 -0.3034744]
1178851092647546881_twitter,<user> <user> dawg at my last job all them white boys was married or was before n i always heard my fuckin whore ass wife dude,normal,[-0.92220825  1.2778422   0.4518258 ]
22405642_gab,but if you are a nigger you can beat rape your way all down white street while screaming i hate white people never be charged with a hate crime,hatespeech,[ 1.1019332  -1.0103232  -0.21356288]
1178130764405366784_twitter,<user> nigga fucking called me a faggot when i said these things to him,normal,[-1.06611    1.4558859  0.5329152]
1178965584488230913_twitter,<user> he is infected with jihadi virus he will spread it to others,hatespeech,[-0.6803944   0.8969385   0.49368492]
1122981615016271872_twitter,bonus points if she says people are gay fanny and she replies with happy,normal,[-0.91202956  1.0686591   0.73368174]
8525782_gab,two of the people i am really getting sick and tired of seeing as guests on these evening news programs are that wild eyed gook malkin and the physically retarded jew krauthammer i change the channel when they come on there are others the list is growing,hatespeech,[ 0.51033026 -0.47132117  0.35612005]
21419884_gab,says the kike cunt trying to charge for premium content how that working for you 😆 obviously nobody gives a fuck what you have to say cuz you are a fucking joke go blow some wetbacks behind the burrito stand and you might make a buck lick balls heebhole premium cunt contributor,hatespeech,[ 1.2217222  -1.1215376  -0.18227938]
1179105444096348165_twitter,do not call me a nigger i am white,hatespeech,[-0.08897012  0.5607108  -0.14113596]
1178276990559801344_twitter,edgy gg stans think being racist is ok i hate faggots,hatespeech,[-0.05092908 -0.05629943  0.55613035]
23170995_gab,rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction,hatespeech,[ 0.82840043 -0.72683036 -0.14656207]
6350512_gab,we are lucky his son died before he got sudden jihad syndrome the ft hood shooter killed more us soldiers than moslem soldiers have died fighting for the us in the past <number> years that is easily checked,normal,[ 0.29539844 -0.17389892  0.11202503]
1179066279648468999_twitter,i am so pretty men and women love me,normal,[-1.461944    2.2579618   0.35607263]
1179093621531906048_twitter,i am a pumpkin bread slut,normal,[-0.7643568   1.2716477   0.21123415]
26939158_gab,build great wall made by prison or shitskin labor using kilms dig out moats filled with gators or flooded with rushing water fact wet backs cant swim in raging waters illegal immigration solved border patrol do their jobs where no wall or moats,offensive,[0.05132326 0.12906338 0.26629683]
16288097_gab,fuck off you nigger loving whore your mom need a slap upside the head for boring such a chicken shit pansy,hatespeech,[ 1.6546388  -1.5947889  -0.39109606]
1179104631248412672_twitter,doctors are always giving women incorrect information on hormonal birth control or leaving out important information and it not okay,normal,[-0.4661229   0.67825323  0.38943398]
1123697297467031558_twitter,kiske to kick someone gay old for a gay little ass,normal,[-1.1174647   1.1365404   0.96570015]
1178398776916086784_twitter,musacchio suspended for being a retard blame giampaolo,normal,[-0.62256455  0.16189867  1.6088848 ]
16333911_gab,started as trash ending as worthless nigger trash,hatespeech,[ 0.85460013 -0.8532843  -0.083725  ]
6921568_gab,is not it nice for the fuzzy muzzies to receive free resources at the expense of europeans so that they can render those charitable people extinct,hatespeech,[ 0.5551239  -0.40581763  0.01005818]
1109547724838457345_twitter,real nigger me please,normal,[ 0.5418603  -0.33850348 -0.23817739]
1178778192208945158_twitter,<user> i agree racism is wrong as a principle and as a fellow queer it important to strive for an intersectional inclusion in our community hate speech is wrong calling someone white trash is wrong but it also important to acknowledge the pain and fight of fellow queer poc,normal,[-0.75027347  1.1478294   0.32488582]
10068208_gab,<user> i went to a minor league ball game yesterday in a majority black city truly baseball is honky ball white families with kids as far as the eye could see it was packed,normal,[-0.83302003  1.2647005   0.36052173]
1178919022793916416_twitter,<user> chinaman satanist lee hsien loong malaysian criminals have been gossiping false information to the ntuc supermarket sembawang mart staff since mid <number> swift discoveries if questioned,normal,[-0.50687677  0.7638783   0.36612213]
1179048685654745095_twitter,<user> is concerned about kashmir she is not concerned that <user> threatened terrorism bloodshed and nuclear holocaust on <number> billion indian citizens in front of the whole world at unga,normal,[-1.1990016  1.7093675  0.5307458]
13107427_gab,dear niggas police your own you filthy scum by the by any pedo or rapist should be burned at the stake not just the spook it just they seem to like that shit almost as much as scum moslem groomers,hatespeech,[ 0.61310023 -0.50136393  0.01470315]
18957160_gab,damn i have not seen a nigger get whipped that badly since kunta kinte,hatespeech,[ 1.1190674  -1.0278484  -0.19390014]
26428645_gab,can someone please find out if this judge is one of them looks like a crypto faggot kike to me,hatespeech,[ 1.5969911  -1.549316   -0.13138238]
1520595_gab,<user> given that he <percent> of the globalists top <percent> are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids,hatespeech,[-0.19670266  0.4241311   0.31969696]
1179071028552781824_twitter,i am the collector of all white sauces,normal,[-0.71797603  1.3187008   0.0368127 ]
1179047499216179202_twitter,<user> i hate everything about this film not to mention it basically validating radical white violence as a result of being forgotten by society,normal,[-0.9725273   1.5320045   0.29852444]
1179103554289582081_twitter,<user> <user> we are believe that it will happen again and again after the <date> of the protest they want to kill all the protester to stop this protest action,normal,[-0.89769065  1.3463699   0.42047396]
1178856299171373057_twitter,september ain t waste no time out this ho he came faster than some of you niggers,offensive,[-0.0986312   0.2543826   0.26992297]
25465320_gab,reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,offensive,[-0.0784848   0.09559035  0.33782038]
1179045003794030592_twitter,my bestie beach sent me a playlist full of white trash music and now i have fallen down an icp rabbit hole at work,normal,[-0.8796632   1.2365077   0.43487737]
23331323_gab,cantwell is actually talking to federal agents and nehlen has a spic wife so what you are saying does not make sense the only reason i think you could be saying these things is if you are a subverter yourself,hatespeech,[ 0.33323124 -0.20288484  0.2821366 ]
19945776_gab,labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street shitting raghead need a one way ticket back to which ever shit hole country he crawled out of,hatespeech,[-0.0680296   0.23527257  0.24230665]
15231597_gab,fuck the nigger bitches,hatespeech,[ 1.3087068 -1.3304493 -0.2120505]
1178749721306906624_twitter,<user> dey can suck my dick my po nd dat white ass judge,normal,[-1.4003527  1.9552065  0.5767842]
1087526819342049281_twitter,i am tired of niggas acting like carmelo anthony is trash,normal,[-0.70716506  0.71551263  0.76780343]
25711501_gab,so according to kike shapiro <number> out of <number> dead and <number> injured being members of hamas justifies everything,offensive,[ 1.151009   -1.0872627  -0.32021797]
15465826_gab,but that you can not even articulate kike what is yes a kike is anyone who signals against myself or any other alt right person who only exposes jews and my posts judaism v the world among other posts have brought you to my timeline kike,hatespeech,[ 1.4244925  -1.3415132  -0.28124556]
1146513422055550978_twitter,i feel whoever dresses amy want her to look ridiculous love island,normal,[-0.77492195  1.182128    0.32679972]
1179043156131811329_twitter,you niggers are dumb,hatespeech,[ 0.8511915  -0.80602396  0.0240734 ]
1179096333413519360_twitter,sit down faggots,offensive,[-0.20405056 -0.16083728  0.91319513]
12345088_gab,western europeans united against the inferior subhuman mudslime filth,hatespeech,[ 0.65973866 -0.676524    0.03447065]
1178924490572484608_twitter,<user> <user> you all keep saying woke disney but the board of directors and presidents are all white besides one guy,normal,[-1.0782083   1.6254895   0.42975557]
1179187033438330882_twitter,cause why beg when it niggas out here begging me,normal,[-1.1793916  1.4907892  0.6287475]
1162547667416899586_twitter,there too many wypipo asking what this is and if they can get in this is a niggers only event,hatespeech,[ 0.53583133 -0.51865435  0.29130054]
1178730155088470016_twitter,<user> <user> <user> <user> <user> if your interpretation of a strong black man means you who follows white supremacy never read the malcolm x book thinking he about that life i think rosa would probably turn lesbian than to have a failing man,normal,[-1.524203   2.326635   0.5179865]
18948105_gab,you are officially a nigger or jew or oven middle class if you use the phrase white trash,hatespeech,[ 1.2423668  -1.148437   -0.20960802]
1179023905446666240_twitter,and that not even the last worst of what he did he claims he raped and murdered <number> girls in the <number> but would toy with the investigators by confessing and then later saying he did not remember etc,normal,[0.00362648 0.20506157 0.23297194]
1178468147327729664_twitter,<user> <user> if you are black hispanic gay or lesbian or democrat it all good nothing you do can be construed as a crime however if you are white or republican you can get the death penalty for a parking ticket,normal,[-1.0245947  1.4400048  0.5246463]
1179065625626460162_twitter,<user> <user> <user> <user> i pity for you you know nothing how hundreds have dies fighting terrorists they are just like japanese people who raped your women and murdered your men i think you forgot how evil people can get bye,normal,[-1.250499    1.9410917   0.47043875]
1179098536199311365_twitter,<user> then you are retarded which is kinda true,normal,[-0.63575536  0.32023448  1.5789485 ]
1179028882911105024_twitter,and of course where this ultimately leads to the tate murders failure to occur what this creates in effect is a fantasy jewish moralizer comparable to the war against the germans existing in ib while simulatenously offering a holocaust negation fantasy,normal,[-0.28843498  0.47131884  0.37880215]
1087149424256651269_twitter,shout out to whoever invented hot sauce,normal,[-1.2525027  1.5485667  0.7234969]
1179061893237022726_twitter,<user> <user> <user> no it would be different in other parts of the world i clearly stated that i am talking about white privilege in the us make your argument make sense,normal,[-1.2789993  1.8742065  0.5161322]
1179047923323154435_twitter,<user> god speed to whoever has to interview him,normal,[-1.1363325  1.5423638  0.552703 ]
1178830600171601924_twitter,<user> where is the diversity video full of white people trust me very painful for the minority very painful,normal,[-1.0364609  1.463091   0.439997 ]
1178921633031114752_twitter,<user> <number> interracial violent victimizations excluding homicide between blacks and whites last year including white on black and black on white attacks blacks committed <number> of those interracial felonies or <number> %, and whites committed <number> of them or less than <number>,normal,[-0.47279483  0.8513594   0.26200014]
1179084808376467456_twitter,my light skin joint got a white boy now i am not type to fight that back but if she ever come around imma widen that gap another bar from <user>,normal,[-0.702144   1.0045999  0.3835175]
1179025686318784517_twitter,anyone leaked the info on who at youtube is the white supremacist neonazi fiddling with the algo seems that should drop next right along with the metrics linking up the infosec talking heads with their harassment and nazi socks right guise,normal,[-0.66623145  0.8585261   0.43507916]
362E9TQF2HRABD89HARI0Y2GDU9GIX_nf_2,i have long remembered that with intense horror as her being raped and tortured that was happening it was not without her consent,normal,[-0.39048874  0.6113818   0.27598947]
1179105246137724928_twitter,<user> <user> jews actually are the most over represented,normal,[-0.6321752  0.5511659  0.7463153]
16845479_gab,shot by a muzzie that reported to a dyke who answered to a leftist mudshark in communist mn yeah i believe it,hatespeech,[ 0.78112    -0.66881156 -0.0123199 ]
1179070307052769281_twitter,<user> me to you 😂 or i am like you know what i take it back fuck you too hoe 💀,normal,[-0.9486342  1.3470254  0.4975993]
15295049_gab,it is impossible for me to follow the rules on twitter you can not even call girls who shave the sides of their heads ugly dykes anymore,hatespeech,[-0.455019    0.6101501   0.36285752]
1178857982722920449_twitter,<user> eldar is queer race imperium of man is patriarchy welcome to the new faggotry lmao,hatespeech,[ 0.23317209 -0.11815701  0.12161957]
1082113977751166977_twitter,that niggah do not do nothing but make you cry girl you dating a onion,normal,[-0.63455087  0.6847173   0.63420624]
1179082312123916292_twitter,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,hatespeech,[-0.42407557  0.35057765  0.9055735 ]
15928526_gab,hope she remembered defending the mudslime that instigated the gang rape and murder karma is a bitch,offensive,[-0.40002567  0.27377373  0.83533645]
1179104577179791360_twitter,<user> andrew johnson impeached failed send every negro back to africa beat as worst president by trump go back places from which they came read jesus turned serapis sermon on the black christ lulu thomas jefferson pimped skydog and the aunt jamama bomb lulu,normal,[ 0.1833484  -0.10482252  0.33188653]
10428925_gab,fuck off we have more than enough muzzies to deal with,hatespeech,[ 1.1032863  -0.94444734  0.0073865 ]
20318209_gab,best live topic i have seen on gab check out this fucking mongrel having to raise this is a worse toll than mudshark glasses,offensive,[0.04472272 0.02444281 0.38313434]
